# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, valid_inputs, invalid_inputs, valid_cov
1669935029, 0, 0, 1, 0, 0, 0.69%, 0, 0, 0, 1.85, 1, 0, 0.69%
1669935029, 0, 0, 20, 0, 0, 1.75%, 0, 0, 0, 152.60, 34, 14, 1.69%
1669935029, 0, 0, 37, 0, 0, 2.05%, 0, 0, 0, 114.20, 56, 29, 1.88%
1669935030, 0, 0, 49, 0, 0, 2.12%, 0, 0, 0, 281.46, 100, 70, 1.93%
1669935030, 0, 1, 66, 0, 0, 2.24%, 0, 0, 0, 396.67, 168, 121, 2.09%
1669935030, 0, 1, 75, 0, 0, 2.27%, 0, 0, 0, 513.25, 271, 173, 2.12%
1669935030, 0, 3, 84, 0, 0, 2.32%, 0, 0, 0, 568.11, 371, 244, 2.15%
1669935031, 0, 3, 93, 0, 0, 2.35%, 1, 0, 0, 561.46, 489, 295, 2.24%
1669935031, 0, 6, 100, 0, 0, 2.36%, 1, 0, 0, 566.67, 606, 348, 2.24%
1669935031, 0, 7, 106, 0, 0, 2.37%, 1, 0, 0, 624.58, 727, 415, 2.29%
1669935032, 0, 7, 116, 0, 0, 2.38%, 1, 0, 0, 516.67, 825, 472, 2.31%
1669935032, 0, 8, 124, 0, 0, 2.38%, 1, 0, 0, 603.33, 930, 548, 2.32%
1669935032, 0, 10, 134, 0, 0, 2.38%, 1, 0, 0, 396.67, 999, 598, 2.33%
1669935033, 0, 10, 145, 0, 0, 2.39%, 1, 0, 0, 217.82, 1044, 619, 2.33%
1669935033, 0, 11, 151, 0, 0, 2.40%, 1, 0, 0, 215.23, 1086, 642, 2.33%
1669935033, 0, 11, 153, 0, 0, 2.40%, 1, 0, 0, 299.67, 1155, 665, 2.33%
1669935033, 0, 12, 158, 0, 0, 2.40%, 1, 0, 0, 318.94, 1225, 691, 2.33%
1669935034, 0, 12, 165, 0, 0, 2.41%, 1, 0, 0, 392.03, 1297, 737, 2.34%
1669935034, 0, 12, 168, 0, 0, 2.41%, 1, 0, 0, 442.24, 1383, 785, 2.34%
1669935034, 0, 13, 177, 0, 0, 2.42%, 1, 0, 0, 318.94, 1442, 822, 2.35%
1669935035, 0, 13, 183, 0, 0, 2.42%, 1, 0, 0, 335.50, 1509, 858, 2.35%
1669935035, 0, 13, 187, 0, 0, 2.42%, 2, 0, 0, 398.03, 1590, 898, 2.36%
1669935035, 0, 15, 191, 0, 0, 2.42%, 3, 0, 0, 237.79, 1634, 927, 2.36%
1669935036, 0, 16, 194, 0, 0, 2.42%, 3, 0, 0, 283.33, 1697, 949, 2.36%
1669935036, 0, 16, 195, 0, 0, 2.42%, 3, 0, 0, 596.67, 1840, 985, 2.36%
1669935036, 0, 19, 195, 0, 0, 2.42%, 4, 0, 0, 279.22, 1900, 1011, 2.36%
1669935037, 0, 19, 197, 0, 0, 2.42%, 4, 0, 0, 375.00, 1968, 1057, 2.36%
1669935037, 0, 20, 199, 0, 0, 2.42%, 4, 0, 0, 486.75, 2048, 1124, 2.36%
1669935037, 0, 20, 204, 0, 0, 2.42%, 4, 0, 0, 145.21, 2048, 1168, 2.36%
1669935037, 0, 20, 205, 0, 0, 2.42%, 4, 0, 0, 142.86, 2048, 1211, 2.36%
1669935038, 0, 20, 207, 0, 0, 2.42%, 4, 0, 0, 148.51, 2049, 1255, 2.36%
1669935038, 0, 20, 207, 0, 0, 2.42%, 4, 0, 0, 139.07, 2049, 1297, 2.36%
1669935038, 0, 20, 208, 0, 0, 2.42%, 4, 0, 0, 154.10, 2050, 1343, 2.36%
1669935039, 0, 22, 212, 0, 0, 2.42%, 4, 0, 0, 294.12, 2103, 1380, 2.36%
1669935039, 0, 24, 213, 0, 0, 2.42%, 4, 0, 0, 333.33, 2173, 1410, 2.36%
1669935039, 0, 24, 221, 0, 0, 2.42%, 5, 0, 0, 420.53, 2256, 1454, 2.37%
1669935040, 0, 24, 227, 0, 0, 2.43%, 5, 0, 0, 440.00, 2342, 1500, 2.38%
1669935040, 0, 25, 230, 0, 0, 2.47%, 5, 0, 0, 436.67, 2432, 1541, 2.43%
1669935040, 0, 25, 230, 0, 0, 2.47%, 5, 0, 0, 636.67, 2562, 1602, 2.43%
1669935040, 0, 26, 232, 0, 0, 2.47%, 5, 0, 0, 720.93, 2700, 1681, 2.43%
1669935041, 0, 28, 234, 0, 0, 2.47%, 5, 0, 0, 440.00, 2800, 1713, 2.43%
1669935041, 0, 28, 239, 0, 0, 2.47%, 5, 0, 0, 394.82, 2892, 1743, 2.43%
1669935041, 0, 29, 242, 0, 0, 2.47%, 5, 0, 0, 420.00, 2985, 1776, 2.43%
