# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, valid_inputs, invalid_inputs, valid_cov
1669876387, 0, 0, 1, 0, 0, 0.15%, 0, 0, 0, 0.44, 0, 1, 0.00%
1669876387, 0, 0, 3, 0, 0, 0.87%, 0, 0, 0, 6.73, 1, 3, 0.79%
1669876387, 0, 0, 13, 0, 0, 0.95%, 0, 0, 0, 70.00, 3, 22, 0.80%
1669876388, 0, 0, 27, 0, 0, 1.13%, 0, 0, 0, 82.78, 4, 46, 0.80%
1669876388, 0, 0, 38, 0, 0, 1.23%, 0, 0, 0, 146.18, 6, 88, 0.80%
1669876388, 0, 2, 49, 0, 0, 1.27%, 0, 0, 0, 95.39, 14, 109, 0.81%
1669876389, 0, 2, 65, 0, 0, 1.30%, 0, 0, 0, 154.61, 27, 143, 0.88%
1669876389, 0, 2, 77, 0, 0, 1.36%, 0, 0, 0, 184.21, 43, 183, 0.97%
1669876389, 0, 2, 83, 0, 0, 1.37%, 0, 0, 0, 169.38, 65, 213, 0.99%
1669876389, 0, 2, 88, 0, 0, 1.39%, 0, 0, 0, 170.00, 77, 252, 1.05%
1669876390, 0, 2, 90, 0, 0, 1.39%, 0, 0, 0, 143.33, 95, 277, 1.05%
1669876390, 0, 2, 98, 0, 0, 1.44%, 0, 0, 0, 183.33, 114, 313, 1.07%
1669876390, 0, 2, 107, 0, 0, 1.48%, 0, 0, 0, 265.78, 135, 372, 1.08%
1669876391, 0, 2, 113, 0, 0, 1.50%, 0, 0, 0, 225.91, 157, 418, 1.09%
1669876391, 0, 3, 116, 0, 0, 1.51%, 0, 0, 0, 361.84, 179, 506, 1.09%
1669876391, 0, 5, 121, 0, 0, 1.51%, 0, 0, 0, 495.02, 189, 645, 1.10%
1669876392, 0, 5, 128, 0, 0, 1.53%, 0, 0, 0, 219.27, 214, 686, 1.11%
1669876392, 0, 5, 131, 0, 0, 1.56%, 0, 0, 0, 253.29, 245, 732, 1.15%
1669876392, 0, 5, 136, 0, 0, 1.56%, 0, 0, 0, 340.00, 272, 807, 1.16%
1669876392, 0, 5, 143, 0, 0, 1.59%, 0, 0, 0, 310.00, 296, 876, 1.20%
1669876393, 0, 5, 145, 0, 0, 1.60%, 0, 0, 0, 153.33, 314, 904, 1.21%
1669876393, 0, 5, 149, 0, 0, 1.60%, 0, 0, 0, 133.33, 326, 932, 1.22%
1669876393, 0, 5, 153, 0, 0, 1.62%, 0, 0, 0, 136.67, 342, 957, 1.22%
1669876394, 0, 6, 160, 0, 0, 1.68%, 0, 0, 0, 241.83, 359, 1014, 1.30%
1669876394, 0, 12, 162, 0, 0, 1.69%, 0, 0, 0, 315.79, 378, 1091, 1.30%
1669876394, 0, 12, 165, 0, 0, 1.70%, 0, 0, 0, 203.33, 391, 1139, 1.30%
1669876395, 0, 13, 168, 0, 0, 1.73%, 0, 0, 0, 185.76, 395, 1195, 1.30%
1669876395, 0, 13, 169, 0, 0, 1.73%, 0, 0, 0, 100.00, 397, 1224, 1.30%
1669876395, 0, 14, 170, 0, 0, 1.73%, 0, 0, 0, 185.76, 404, 1277, 1.30%
1669876396, 0, 15, 173, 0, 0, 1.75%, 0, 0, 0, 249.19, 409, 1349, 1.30%
1669876396, 0, 15, 177, 0, 0, 1.76%, 0, 0, 0, 205.98, 413, 1407, 1.30%
1669876396, 0, 21, 178, 0, 0, 1.77%, 0, 0, 0, 468.44, 419, 1542, 1.30%
1669876396, 0, 25, 184, 0, 0, 1.78%, 0, 0, 0, 490.00, 433, 1675, 1.30%
1669876397, 0, 27, 187, 0, 0, 1.78%, 0, 0, 0, 573.33, 439, 1841, 1.30%
1669876397, 0, 29, 194, 0, 0, 1.81%, 0, 0, 0, 529.80, 449, 1991, 1.31%
1669876397, 0, 31, 195, 0, 0, 1.81%, 0, 0, 0, 478.41, 458, 2126, 1.31%
1669876398, 0, 32, 198, 0, 0, 1.81%, 0, 0, 0, 316.67, 481, 2198, 1.31%
1669876398, 0, 32, 199, 0, 0, 1.81%, 0, 0, 0, 283.83, 503, 2262, 1.31%
1669876398, 0, 32, 201, 0, 0, 1.81%, 0, 0, 0, 205.63, 527, 2311, 1.32%
1669876399, 0, 32, 201, 0, 0, 1.81%, 0, 0, 0, 68.54, 532, 2328, 1.32%
1669876399, 0, 32, 201, 0, 0, 1.81%, 0, 0, 0, 106.31, 544, 2348, 1.32%
1669876399, 0, 32, 201, 0, 0, 1.81%, 0, 0, 0, 126.25, 554, 2376, 1.32%
1669876400, 0, 32, 202, 0, 0, 1.81%, 0, 0, 0, 68.86, 564, 2389, 1.32%
1669876400, 0, 32, 205, 0, 0, 1.82%, 0, 0, 0, 80.39, 572, 2406, 1.34%
1669876400, 0, 32, 206, 0, 0, 1.82%, 0, 0, 0, 73.25, 578, 2423, 1.34%
1669876401, 0, 33, 208, 0, 0, 1.82%, 0, 0, 0, 211.01, 585, 2485, 1.34%
1669876401, 0, 34, 209, 0, 0, 1.83%, 0, 0, 0, 193.44, 586, 2543, 1.34%
1669876401, 0, 34, 213, 0, 0, 1.83%, 0, 0, 0, 259.14, 591, 2616, 1.34%
1669876401, 0, 35, 215, 0, 0, 1.84%, 0, 0, 0, 174.92, 598, 2662, 1.34%
1669876402, 0, 35, 216, 0, 0, 1.84%, 0, 0, 0, 93.25, 608, 2681, 1.35%
1669876402, 0, 37, 219, 0, 0, 1.84%, 0, 0, 0, 296.05, 621, 2758, 1.36%
1669876402, 0, 38, 223, 0, 0, 1.85%, 0, 0, 0, 276.19, 623, 2843, 1.37%
1669876403, 0, 39, 226, 0, 0, 1.85%, 0, 0, 0, 215.23, 637, 2894, 1.37%
1669876403, 0, 39, 227, 0, 0, 1.85%, 0, 0, 0, 270.00, 657, 2955, 1.37%
1669876403, 0, 39, 228, 0, 0, 1.85%, 0, 0, 0, 130.72, 674, 2978, 1.37%
1669876404, 0, 39, 228, 0, 0, 1.85%, 0, 0, 0, 203.33, 696, 3017, 1.37%
1669876404, 0, 39, 230, 0, 0, 1.86%, 0, 0, 0, 202.53, 717, 3060, 1.37%
1669876404, 0, 39, 231, 0, 0, 1.86%, 0, 0, 0, 217.25, 733, 3112, 1.38%
1669876405, 0, 40, 234, 0, 0, 1.86%, 0, 0, 0, 287.13, 751, 3181, 1.38%
1669876405, 0, 42, 236, 0, 0, 1.87%, 0, 0, 0, 274.56, 757, 3284, 1.38%
1669876405, 0, 45, 240, 0, 0, 1.88%, 0, 0, 0, 209.30, 772, 3332, 1.38%
1669876406, 0, 45, 242, 0, 0, 1.88%, 0, 0, 0, 287.13, 785, 3406, 1.38%
1669876406, 0, 46, 242, 0, 0, 1.88%, 0, 0, 0, 225.91, 792, 3467, 1.38%
1669876406, 0, 47, 242, 0, 0, 1.88%, 0, 0, 0, 195.72, 799, 3524, 1.38%
1669876406, 0, 48, 243, 0, 0, 1.88%, 0, 0, 0, 162.42, 810, 3564, 1.38%
1669876407, 0, 48, 243, 0, 0, 1.88%, 0, 0, 0, 109.27, 822, 3585, 1.38%
1669876407, 0, 48, 243, 0, 0, 1.88%, 0, 0, 0, 99.51, 836, 3612, 1.38%
1669876407, 0, 48, 245, 0, 0, 1.89%, 0, 0, 0, 169.44, 854, 3645, 1.38%
1669876408, 0, 48, 245, 0, 0, 1.89%, 0, 0, 0, 165.02, 873, 3676, 1.38%
1669876408, 0, 48, 247, 0, 0, 1.89%, 0, 0, 0, 246.15, 892, 3737, 1.38%
1669876408, 0, 48, 247, 0, 0, 1.89%, 0, 0, 0, 320.00, 919, 3806, 1.38%
1669876409, 0, 49, 249, 0, 0, 1.90%, 0, 0, 0, 233.33, 939, 3856, 1.38%
1669876409, 0, 49, 250, 0, 0, 1.90%, 0, 0, 0, 142.03, 951, 3893, 1.38%
1669876409, 0, 49, 252, 0, 0, 1.90%, 0, 0, 0, 436.07, 979, 3998, 1.38%
1669876410, 0, 49, 253, 0, 0, 1.90%, 0, 0, 0, 320.39, 1010, 4066, 1.38%
1669876410, 0, 50, 254, 0, 0, 1.90%, 0, 0, 0, 350.00, 1029, 4152, 1.38%
1669876410, 0, 52, 257, 0, 0, 1.91%, 0, 0, 0, 523.33, 1039, 4299, 1.39%
1669876411, 0, 54, 259, 0, 0, 1.91%, 0, 0, 0, 346.88, 1043, 4406, 1.39%
1669876411, 0, 56, 261, 0, 0, 1.91%, 0, 0, 0, 410.00, 1055, 4517, 1.39%
1669876411, 0, 60, 264, 0, 0, 1.92%, 0, 0, 0, 471.95, 1076, 4639, 1.39%
1669876411, 0, 61, 264, 0, 0, 1.92%, 0, 0, 0, 453.33, 1101, 4750, 1.39%
